,level,parent,inner_relpath,abs_path,name,size_bytes,sha256,mime_guess
15,inner,H.zip,AudioClientLifeBOX.zip,/mnt/data/_work_2025-06-10/unzipped/H/AudioClientLifeBOX.zip,AudioClientLifeBOX.zip,228,34c00e1afe0ac2bdb00850839d5fa44524b2a2cd687449da03d274a0e0009651,application/zip
16,inner,H.zip,DocumentClientLifeBOX.zip,/mnt/data/_work_2025-06-10/unzipped/H/DocumentClientLifeBOX.zip,DocumentClientLifeBOX.zip,234,ce85a142b672f65b604dc31292b1ac0c603e1b49c4f25f215d3b812840e1a66f,application/zip
17,inner,H.zip,Media.zip,/mnt/data/_work_2025-06-10/unzipped/H/Media.zip,Media.zip,174,a0235c8af34952e61cb3273870a0b1700b95cc99d0b5857a2e22b8dfcfbb8a6f,application/zip
18,inner,H.zip,My-Viettel-App-MDM.pdf,/mnt/data/_work_2025-06-10/unzipped/H/My-Viettel-App-MDM.pdf,My-Viettel-App-MDM.pdf,3367647,264965613992cb94224aec9aca283841f1bddd26ec5f1a2083397e8c9c3edddf,application/pdf
19,inner,H.zip,steChat.data,/mnt/data/_work_2025-06-10/unzipped/H/steChat.data,steChat.data,61440,a3843be762bafc1ccf77df80ec44685a3fcf701950c51a6b4f1f64b57db57f41,application/octet-stream
20,inner,H.zip,viettel.der,/mnt/data/_work_2025-06-10/unzipped/H/viettel.der,viettel.der,1650,67f3dfbd69f2cc519d3e06d7b05a24a1c674bab1d25504e0646f7c167035a439,application/octet-stream
12,inner,H.zip,"{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf","/mnt/data/_work_2025-06-10/unzipped/H/{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf","{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",10462,ed4f5163119c98eee6ebaf3e7c3d53d50e2e7d4c9f390c2b467ab89ae6d50462,application/pdf
10,inner,H.zip,{.84368154682.-[]}.pdf,/mnt/data/_work_2025-06-10/unzipped/H/{.84368154682.-[]}.pdf,{.84368154682.-[]}.pdf,9254,ca628d257d7cbefa752775cde60b2a4713a16d7916ce409b0f3b803bc636eedf,application/pdf
13,inner,H.zip,{.84368154682.-[]}.pdf,/mnt/data/_work_2025-06-10/unzipped/H/{.84368154682.-[]}.pdf,{.84368154682.-[]}.pdf,9254,ca628d257d7cbefa752775cde60b2a4713a16d7916ce409b0f3b803bc636eedf,application/pdf
11,inner,H.zip,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf","/mnt/data/_work_2025-06-10/unzipped/H/{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf","{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",123001,1c12d2b5281beec39dfa39a1649534acd62db44266b44d3ea18bf47ab3aada62,application/pdf
14,inner,H.zip,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf","/mnt/data/_work_2025-06-10/unzipped/H/{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf","{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",123001,1c12d2b5281beec39dfa39a1649534acd62db44266b44d3ea18bf47ab3aada62,application/pdf
4,inner,README_victim_map.zip,Jetsamevent-bug_type_298-2025-06-10.docx,/mnt/data/_work_2025-06-10/unzipped/README_victim_map/Jetsamevent-bug_type_298-2025-06-10.docx,Jetsamevent-bug_type_298-2025-06-10.docx,52505,cbf83bca2f5ae206d270dd33b4931f01494f63124eda07eee672b2b1febdcf1d,application/vnd.openxmlformats-officedocument.wordprocessingml.document
5,inner,README_victim_map.zip,README_victim_map.txt,/mnt/data/_work_2025-06-10/unzipped/README_victim_map/README_victim_map.txt,README_victim_map.txt,1467,631a0a28fbe76605fa482e64fbf880c539abe3ff62a215088300a268386c319e,text/plain
